STUDENT RESULT MANAGEMENT SYSTEM,,,,,,,,,,,,,,,
Student ID,Name,Kan,Eng,Math,Sci,Soc,Hin,Total,Percentage,Grade,Result,Rank,,,
101,Aarav,78,80,75,72,69,54,428,71.33,B+,PASS,8,,,
102,Harish,55,60,48,50,52,65,330,55,C,PASS,14,,,
103,Rahul,34,60,55,50,45,92,336,56,C,FAIL,13,,,
104,Priya,90,88,92,85,91,56,502,83.67,A,PASS,3,,,
105,Kiran,40,38,36,42,35,42,233,38.83,D,PASS,25,,,
106,Anjali,67,72,70,66,65,86,426,71,B+,PASS,9,,,
107,Rohan,45,50,28,55,60,56,294,49,D,FAIL,18,,,
108,Sneha,75,70,68,72,74,75,434,72.33,B+,PASS,7,,,
109,Vivek,35,35,35,35,35,95,270,45,D,PASS,23,,,
110,Aishwarya,82,79,84,80,78,43,446,74.33,B+,PASS,6,,,
111,Nikhil,60,61,62,63,64,88,398,66.33,B,PASS,10,,,
112,Pooja,45,33,55,60,50,46,289,48.17,D,FAIL,19,,,
113,Aditya,48,50,46,44,49,58,295,49.17,D,PASS,17,,,
114,Kavya,88,84,86,90,85,76,509,84.83,A,PASS,2,,,
115,Manish,36,39,41,37,40,85,278,46.33,D,PASS,22,,,
116,Deepika,70,68,72,74,69,94,447,74.5,B+,PASS,5,,,
117,Akash,59,60,55,58,32,65,329,54.83,C,FAIL,15,,,
118,Divya,95,91,93,90,94,67,530,88.33,A,PASS,1,,,
119,Sandeep,45,48,50,46,44,53,286,47.67,D,PASS,20,,,
120,Neha,38,40,42,39,41,80,280,46.67,D,PASS,21,,,
121,Varun,45,30,40,25,50,65,255,42.5,D,FAIL,24,,,
122,Shreya,65,67,69,70,72,45,388,64.67,B,PASS,11,,,
123,Abhishek,80,82,84,86,88,76,496,82.67,A,PASS,4,,,
124,Nandini,35,45,55,65,75,33,308,51.33,C,FAIL,16,,,
125,Arjun,58,62,64,60,59,69,372,62,B,PASS,12,,,
